equipo,elo,pais,liga,ultimo_partido,activo
Malaga,1510.7345482155113,ESP,SP1,2026-09-13,True
FC Koln,1509.7539608626316,GER,D1,2026-09-12,True
Gil Vicente,1509.2534360260595,POR,P1,2026-09-13,True
Zenit St. Petersburg (RUS),1508.8292806108461,RUS,CL,2021-12-08,False
Elversberg,1507.2128922140844,GER,D1,2026-09-13,True
Heerenveen,1507.0626136497438,NED,N1,2026-09-13,True
Guimaraes,1504.627454209484,POR,P1,2026-09-12,True
Standard,1503.3397130549656,BEL,B1,2026-09-12,True
Palermo,1500.70459768881,ITA,I2,2026-09-13,True
Middlesbrough,1500.0573183832641,ENG,E1,2026-09-12,True
Reims,1498.1383335668907,FRA,F2,2026-09-11,True
Go Ahead Eagles,1496.0935517652108,NED,N1,2026-09-12,True
FK Bodø/Glimt (NOR),1495.5256091926033,NOR,CL,2026-03-17,True
Goztep,1493.7775053134312,TUR,T1,2026-09-12,True
FC København (DEN),1493.5237994084182,DEN,CL,2026-01-28,True
Monza,1493.1516770965445,ITA,I1,2026-09-13,True
Oviedo,1492.91751243172,ESP,SP2,2026-09-13,True
FC Basel 1893 (SUI),1492.1887655296837,SUI,CL,2018-03-07,False
Groningen,1491.0193700821883,NED,N1,2026-09-12,True
Burgos,1489.4864348014555,ESP,SP2,2026-09-11,True
Academico Viseu,1489.3498014447669,POR,P1,2026-09-12,True
Le Havre,1488.0229176842686,FRA,F1,2026-09-12,True
Burnley,1487.6501265494014,ENG,E1,2026-09-12,True
Alanyaspor,1487.1945192736698,TUR,T1,2026-09-12,True
Moreirense,1486.762654132914,POR,P1,2026-09-14,True
Schalke 04,1485.04237283898,GER,D1,2026-09-11,True
Antwerp,1484.902139747447,BEL,B1,2026-09-13,True
Rizespor,1484.769147884144,TUR,T1,2026-09-12,True
Paderborn,1483.8502851295764,GER,D1,2026-09-12,True
Heidenheim,1482.6769350295501,GER,D2,2026-09-13,True
Kasimpasa,1480.6697720678228,TUR,T1,2026-09-13,True
Alverca,1475.5137968271283,POR,P1,2026-09-12,True
Angers,1475.4855415288762,FRA,F1,2026-09-12,True
Westerlo,1474.814580391708,BEL,B1,2026-09-12,True
Siena,1474.5961159774765,ITA,I2,2014-05-30,False
Sparta Rotterdam,1473.2661562377848,NED,N1,2026-09-13,True
St Etienne,1472.088048526505,FRA,F2,2026-09-12,True
Millwall,1470.2480159858849,ENG,E1,2026-09-12,True
RB Salzburg (AUT),1469.1026973858507,AUT,CL,2025-01-29,False
CSKA Moskva (RUS),1465.5533456023047,RUS,CL,2018-12-12,False
Hertha,1462.6249343332966,GER,D2,2026-09-13,True
Estoril,1462.2308947120753,POR,P1,2026-09-14,True
Telstar,1462.1673996035342,NED,N1,2026-09-13,True
Amedspor,1461.2193204466996,TUR,T1,2026-09-13,True
Cremonese,1461.1523655814563,ITA,I2,2026-09-12,True
Konyaspor,1458.8059348689683,TUR,T1,2026-09-12,True
St Pauli,1458.671047532061,GER,D2,2026-09-12,True
Dinamo Kiev (UKR),1458.6324500399278,UKR,CL,2021-12-08,False
Hull,1458.1390577924,ENG,E0,2026-09-12,True
Hannover,1456.7488731852661,GER,D2,2026-09-11,True
Waregem,1455.5008443157242,BEL,B1,2026-09-13,True
Corum,1454.2190772365855,TUR,T1,2026-09-12,True
Levadeiakos,1453.4533413974932,GRE,G1,2026-09-13,True
Hibernian,1452.3641067014064,SCO,SC0,2026-09-06,True
Gaziantep,1452.3063762874217,TUR,T1,2026-09-14,True
Motherwell,1451.3280900222198,SCO,SC0,2026-09-05,True
Lommel SK,1450.9084342742096,BEL,B1,2026-09-12,True
Atromitos,1450.8415786922026,GRE,G1,2026-09-12,True
Troyes,1450.1326219195166,FRA,F1,2026-09-13,True
Kocaelispor,1448.2639432885069,TUR,T1,2026-09-13,True
Beveren,1448.0000661697652,BEL,B1,2026-09-12,True
Swansea,1447.3114720722763,ENG,E1,2026-09-12,True
Excelsior,1445.5973195185875,NED,N1,2026-09-13,True
Rio Ave,1445.005705340277,POR,P1,2026-09-14,True
Norwich,1444.1044085314663,ENG,E1,2026-09-12,True
OFI Crete,1443.583078973442,GRE,G1,2026-09-12,True
For Sittard,1441.3794076049292,NED,N1,2026-09-12,True
Sivasspor,1440.8288180238892,TUR,T1,2025-05-31,False
Mechelen,1440.2804265081847,BEL,B1,2026-09-11,True
Sp Gijon,1438.305298209607,ESP,SP2,2026-09-13,True
Wrexham,1438.2298303041537,ENG,E1,2026-09-11,True
Estrela,1437.0922217275947,POR,P1,2026-09-14,True
Murcia,1435.7389948647312,ESP,SP2,2014-06-07,False
Nurnberg,1434.4287604788515,GER,D2,2026-09-11,True
Zwolle,1433.594464081059,NED,N1,2026-09-13,True
Granada,1431.0015464748126,ESP,SP2,2026-09-12,True
Giresunspor,1430.95811162303,TUR,T1,2023-06-07,False
Cercle Brugge,1430.4606997815488,BEL,B1,2026-09-12,True
Ankaragucu,1430.1281650125086,TUR,T1,2024-05-26,False
Leganes,1429.966824170831,ESP,SP2,2026-09-13,True
Dinamo Zagreb (CRO),1428.9717879190061,CRO,CL,2025-01-29,False
Paphos FC (CYP),1428.191413568637,CYP,CL,2026-01-28,True
Crvena Zvezda (SRB),1427.2960348243541,SRB,CL,2025-01-29,False
Karagumruk,1426.9375745971338,TUR,T1,2026-05-16,True
Qarabağ FK (AZE),1426.7568194384003,AZE,CL,2026-02-24,True
CFR Cluj (ROU),1426.4661496186175,ROU,CL,2012-12-05,False
Sheffield United,1426.033044632146,ENG,E1,2026-09-13,True
FC Sheriff (MDA),1425.569586865224,MDA,CL,2021-12-07,False
Metz,1424.675960588327,FRA,F2,2026-09-14,True
Verona,1424.364572623662,ITA,I2,2026-09-11,True
Chievo,1424.3513831659056,ITA,I2,2021-05-10,False
Bochum,1424.1169425987548,GER,D2,2026-09-12,True
Bodrumspor,1423.6573499819108,TUR,T1,2025-06-01,False
Nantes,1422.1721288824149,FRA,F2,2026-09-12,True
FK Rostov (RUS),1421.7765033044666,RUS,CL,2016-12-06,False
Albacete,1419.8122866072538,ESP,SP2,2026-09-12,True
Erzurumspor,1419.239823314171,TUR,T1,2026-09-11,True
Kaiserslautern,1417.482719105428,GER,D2,2026-09-12,True
Eyupspor,1417.3729206798932,TUR,T1,2026-09-12,True
West Brom,1417.035528437914,ENG,E1,2026-09-12,True
Catanzaro,1415.2881168215129,ITA,I2,2026-09-12,True
FK Astana (KAZ),1414.026202237751,KAZ,CL,2015-12-08,False
Farense,1413.0665374489718,POR,P1,2025-05-17,False
Bristol City,1412.8686284169496,ENG,E1,2026-09-12,True
FK Krasnodar (RUS),1412.1009008516962,RUS,CL,2020-12-08,False
Lincoln,1412.073381189852,ENG,E1,2026-09-12,True
SK Sturm Graz (AUT),1411.5187433983185,AUT,CL,2025-01-29,False
Montpellier,1411.0696439369035,FRA,F2,2026-09-11,True
Osmanlispor,1410.0197774701496,TUR,T1,2018-05-18,False
Rodez,1409.7228167715648,FRA,F2,2026-09-11,True
Setubal,1409.3780779648205,POR,P1,2020-07-26,False
Casa Pia,1409.1823817982806,POR,P1,2026-09-12,True
Legia Warszawa (POL),1408.736576280228,POL,CL,2016-12-07,False
Modena,1408.2366511251037,ITA,I2,2026-09-12,True
Austria Wien (AUT),1408.182196677843,AUT,CL,2013-12-11,False
Maccabi Haifa (ISR),1408.0085110575073,ISR,CL,2022-11-02,False
Real Madrid B,1407.8698457835703,ESP,SP2,2014-06-07,False
Kayserispor,1407.2782407546224,TUR,T1,2026-05-17,True
Catania,1406.1578671960533,ITA,I2,2015-05-22,False
AC Sparta Praha (CZE),1406.1186843214637,CZE,CL,2025-01-29,False
Uniao Madeira,1405.685396960836,POR,P1,2016-05-14,False
Panetolikos,1405.4794084025243,GRE,G1,2026-09-13,True
Vizela,1405.2973479263878,POR,P1,2024-05-18,False
FC Midtjylland (DEN),1405.1341071198635,DEN,CL,2020-12-09,False
Maritimo,1404.820198930651,POR,P1,2026-09-14,True
Genclerbirligi,1404.7774570682327,TUR,T1,2026-09-13,True
Birmingham,1404.517774063575,ENG,E1,2026-09-12,True
Le Mans,1404.2339091379872,FRA,F1,2026-09-13,True
Spartak Moskva (RUS),1404.169734085467,RUS,CL,2017-12-06,False
Annecy,1404.0623467655876,FRA,F2,2026-09-12,True
Iraklis,1403.750973927589,GRE,G1,2026-09-12,True
Bursaspor,1403.6966955085597,TUR,T1,2019-05-26,False
Celta B,1403.122800796241,ESP,SP2,2026-09-14,True
Andorra,1401.4867832736081,ESP,SP2,2026-09-12,True
Antalyaspor,1400.8916818826756,TUR,T1,2026-05-17,True
Pisa,1400.51909328928,ITA,I2,2026-09-11,True
Nacional,1400.4771805100804,POR,P1,2026-09-12,True
Lokomotiv Moskva (RUS),1400.162319144985,RUS,CL,2020-12-09,False
Umraniyespor,1399.9860751435863,TUR,T1,2023-06-07,False
Portimonense,1399.4473209444411,POR,P1,2024-05-18,False
Tenerife,1398.1577251494366,ESP,SP2,2026-09-13,True
Vitesse,1397.943863900907,NED,N1,2024-05-19,False
PFC Ludogorets Razgrad (BUL),1397.4493888450825,BUL,CL,2016-12-06,False
Beira Mar,1397.345307352267,POR,P1,2013-05-19,False
BSC Young Boys (SUI),1397.1336256649242,SUI,CL,2025-01-29,False
APOEL Nikosia (CYP),1396.8900980985675,CYP,CL,2017-12-06,False
Xanthi,1396.6863869399015,GRE,G1,2020-07-18,False
Pendikspor,1396.4836809131114,TUR,T1,2024-05-26,False
NK Maribor (SVN),1396.4619910144534,SVN,CL,2017-12-06,False
Belenenses,1396.2521858553166,POR,P1,2022-05-14,False
Viktoria Plzeň (CZE),1395.45509818225,CZE,CL,2022-11-01,False
Magdeburg,1395.3487762410416,GER,D2,2026-09-12,True
Kalamata,1395.139848065616,GRE,G1,2026-09-13,True
Erzurum BB,1394.9244982647501,TUR,T1,2021-05-11,False
Slavia Praha (CZE),1394.7533805453147,CZE,CL,2026-01-28,True
Holstein Kiel,1394.3792003085618,GER,D2,2026-09-13,True
RAAL La Louviere,1393.945477896686,BEL,B1,2026-09-13,True
Darmstadt,1393.2725329332125,GER,D2,2026-09-11,True
Bordeaux,1392.789387399757,FRA,F2,2024-05-17,False
BATE Borisov (BLR),1392.2710310419573,BLR,CL,2015-12-09,False
FC Steaua Bucureşti (ROU),1391.6099503052312,ROU,CL,2013-12-11,False
Leicester,1391.040558365457,ENG,E1,2026-05-02,True
Luton,1391.0006358940989,ENG,E1,2025-05-03,False
Chaves,1390.7181063518171,POR,P1,2024-05-18,False
Ponferradina,1389.951390786053,ESP,SP2,2023-05-28,False
Pacos Ferreira,1388.110137880436,POR,P1,2023-05-27,False
Ferencvárosi TC (HUN),1387.5683142722187,HUN,CL,2020-12-08,False
Trapani,1386.9496347817355,ITA,I2,2020-07-31,False
Llagostera,1386.0949465153556,ESP,SP2,2016-06-04,False
Cordoba,1385.930869982367,ESP,SP2,2026-09-12,True
Waalwijk,1385.6519138620076,NED,N1,2025-05-18,False
Sociedad B,1385.437347776986,ESP,SP2,2026-09-12,True
Mantova,1384.1984217570268,ITA,I2,2026-09-13,True
Derby,1384.049287523955,ENG,E1,2026-09-12,True
UCAM Murcia,1383.583550870663,ESP,SP2,2017-06-10,False
AVS,1383.520998784666,POR,P1,2026-05-16,True
Graafschap,1383.1722288395003,NED,N1,2019-05-15,False
QPR,1383.0876490926148,ENG,E1,2026-09-12,True
Oud-Heverlee Leuven,1382.511164088608,BEL,B1,2026-09-12,True
Tondela,1382.2899163622155,POR,P1,2026-05-16,True
FK Kairat (KAZ),1382.2804231448938,KAZ,CL,2026-01-28,True
Mirandes,1382.2549010382652,ESP,SP2,2026-05-31,True
Empoli,1382.1070659578527,ITA,I2,2026-09-11,True
Guadalajara,1382.0620333391992,ESP,SP2,2013-06-08,False
Malmö FF (SWE),1381.7823118462245,SWE,CL,2021-12-08,False
Sabadell,1381.3092853366954,ESP,SP2,2026-09-13,True
Arezzo,1381.2130137666893,ITA,I2,2026-09-11,True
Altay,1381.0346318582249,TUR,T1,2022-05-21,False
Portsmouth,1380.572197345858,ENG,E1,2026-09-12,True
Amorebieta,1380.507719492,ESP,SP2,2024-06-02,False
Akhisar Belediyespor,1379.5207239485899,TUR,T1,2019-05-25,False
Mouscron,1378.5980823498733,BEL,B1,2021-04-18,False
Blackburn,1377.954408558026,ENG,E1,2026-09-12,True
Asteras Tripolis,1377.379639231427,GRE,G1,2026-09-13,True
FC Emmen,1377.331251099472,NED,N1,2023-05-28,False
Leonesa,1376.3512687183802,ESP,SP2,2018-06-02,False
Ceuta,1376.3439578053374,ESP,SP2,2026-09-11,True
Mouscron-Peruwelz,1376.0027048139727,BEL,B1,2016-03-13,False
Karlsruhe,1374.4757347646046,GER,D2,2026-09-13,True
Foggia,1374.4007585965157,ITA,I2,2019-05-11,False
Sochaux,1374.32201384124,FRA,F2,2026-09-12,True
Numancia,1373.6719841760203,ESP,SP2,2020-07-20,False
Panionios,1372.5884810823459,GRE,G1,2020-07-18,False
Ionikos,1372.4646854098278,GRE,G1,2023-05-13,False
Jaen,1372.0598761360086,ESP,SP2,2014-06-07,False
Ascoli,1370.79984973701,ITA,I2,2026-09-12,True
Roda,1370.7198211625973,NED,N1,2018-05-06,False
Boavista,1370.5615491854433,POR,P1,2025-05-17,False
Fortuna Dusseldorf,1369.7837798679834,GER,D2,2026-05-17,True
Maccabi Tel Aviv (ISR),1369.6632904168525,ISR,CL,2015-12-09,False
ŠK Slovan Bratislava (SVK),1369.609418226297,SVK,CL,2025-01-29,False
Almere City,1369.5539202481734,NED,N1,2025-05-18,False
Kifisia,1367.222044058202,GRE,G1,2026-09-13,True
Brescia,1366.6614394859394,ITA,I2,2025-05-13,False
Bielefeld,1366.55553056133,GER,D2,2026-09-11,True
Salernitana,1366.3332976483264,ITA,I2,2025-05-13,False
Elazigspor,1365.9266312204304,TUR,T1,2014-05-17,False
Red Star,1365.0061150975073,FRA,F2,2026-09-14,True
FC Nordsjælland (DEN),1364.503898686544,DEN,CL,2012-12-05,False
NAC Breda,1363.4541152672703,NED,N1,2026-05-17,True
Juve Stabia,1363.0508612175977,ITA,I2,2026-09-12,True
Extremadura UD,1362.6109678503187,ESP,SP2,2020-07-20,False
Eldense,1362.5639250608606,ESP,SP2,2026-09-13,True
Athens Kallithea,1362.4806308565026,GRE,G1,2025-05-18,False
Balikesirspor,1362.3728928077699,TUR,T1,2015-05-29,False
Penafiel,1360.500029543832,POR,P1,2015-05-22,False
Valladolid,1360.312562173702,ESP,SP2,2026-09-13,True
Reggina,1358.7669131149942,ITA,I2,2023-05-19,False
Evian Thonon Gaillard,1358.7106326258404,FRA,F2,2016-05-13,False
Volendam,1358.6264742048186,NED,N1,2026-05-17,True
Avellino,1357.134748746641,ITA,I2,2026-09-13,True
Olhanense,1357.0320449374017,POR,P1,2014-05-10,False
Wycombe,1356.4071763385364,ENG,E1,2021-05-08,False
RWD Molenbeek,1356.2023328550076,BEL,B1,2024-05-11,False
Falkirk,1355.38233003049,SCO,SC0,2026-09-05,True
Academica,1355.051884165083,POR,P1,2016-05-14,False
Villarreal B,1354.5848066544154,ESP,SP2,2024-06-02,False
Hatayspor,1354.3991931635715,TUR,T1,2025-05-31,False
Rayo Majadahonda,1353.983178732553,ESP,SP2,2019-06-08,False
Sudtirol,1353.500399300408,ITA,I2,2026-09-12,True
Bergen,1353.16919668375,BEL,B1,2014-03-16,False
Huesca,1352.7182250677536,ESP,SP2,2026-05-31,True
Eskisehirspor,1352.1254115372133,TUR,T1,2016-05-19,False
Dunkerque,1351.9114900673812,FRA,F2,2026-09-12,True
Stoke,1351.4875349336849,ENG,E1,2026-09-12,True
Feirense,1349.9641553972629,POR,P1,2019-05-18,False
Cadiz,1348.778957280014,ESP,SP2,2026-09-12,True
Perugia,1348.4255387728083,ITA,I2,2023-05-19,False
Charlton,1347.597814149711,ENG,E1,2026-09-12,True
Hercules,1347.1413307445996,ESP,SP2,2014-06-07,False
Alcorcon,1346.5151966139545,ESP,SP2,2024-06-02,False
Oxford,1346.3937280366767,ENG,E1,2026-05-02,True
Dordrecht,1346.051818744499,NED,N1,2015-05-17,False
Logrones,1345.8178460557588,ESP,SP2,2021-05-30,False
Watford,1345.2599652754357,ENG,E1,2026-09-12,True
Dender,1344.9760239942204,BEL,B1,2026-05-09,True
Spezia,1344.6899204549366,ITA,I2,2026-05-08,True
Guingamp,1344.6361152413838,FRA,F2,2026-09-12,True
Novara,1344.630287509516,ITA,I2,2018-05-18,False
Virtus Lanciano,1344.4224450852073,ITA,I2,2016-05-20,False
Cesena,1343.6527485589124,ITA,I2,2026-09-12,True
Benevento,1342.6131155014118,ITA,I2,2026-09-11,True
Ternana,1339.678165943357,ITA,I2,2024-05-10,False
Orduspor,1339.3119229841293,TUR,T1,2013-05-18,False
Willem II,1338.0319617119787,NED,N1,2026-09-11,True
Adanaspor,1337.8783407892493,TUR,T1,2017-06-03,False
Ergotelis,1337.7397688165731,GRE,G1,2015-05-10,False
Grenoble,1337.1670783960226,FRA,F2,2026-09-11,True
Erciyesspor,1337.1623398805202,TUR,T1,2015-05-29,False
Fuenlabrada,1337.00320940973,ESP,SP2,2022-05-27,False
Aalen,1336.8414691714058,GER,D2,2015-05-24,False
Ulm,1336.529689501009,GER,D2,2025-05-18,False
Dresden,1336.1256746571803,GER,D2,2026-09-12,True
Doncaster,1336.027079116511,ENG,E1,2014-05-03,False
Plymouth,1335.8592331039317,ENG,E1,2025-05-03,False
VVV Venlo,1333.8103147075096,NED,N1,2021-05-16,False
Greuther Furth,1333.7134876492082,GER,D2,2026-09-12,True
Volos NFC,1333.3658020643134,GRE,G1,2026-09-13,True
Inverness C,1332.8773432647774,SCO,SC0,2017-05-20,False
Padova,1332.5517730122158,ITA,I2,2026-09-12,True
Oostende,1332.2295057849583,BEL,B1,2023-04-23,False
Carrarese,1330.1942804841192,ITA,I2,2026-09-12,True
Barcelona B,1330.1051516244474,ESP,SP2,2018-06-02,False
Spal,1329.801313687811,ITA,I2,2023-05-19,False
Dundee United,1329.435170669412,SCO,SC0,2026-09-05,True
Lokeren,1329.2208364935261,BEL,B1,2019-03-17,False
Yeovil,1328.740754037034,ENG,E1,2014-05-03,False
Wigan,1328.4161317234245,ENG,E1,2023-05-08,False
Germinal,1328.0565435012604,BEL,B1,2013-03-16,False
Giannina,1327.4904153839977,GRE,G1,2024-05-11,False
Bari,1327.1357329797124,ITA,I2,2026-05-08,True
Aves,1327.0758122272512,POR,P1,2020-07-26,False
Huddersfield,1326.4614680553516,ENG,E1,2024-05-04,False
Heracles,1326.3659421793102,NED,N1,2026-05-17,True
Ibiza,1325.8948273354877,ESP,SP2,2023-05-27,False
Zaragoza,1325.5848472951832,ESP,SP2,2026-05-31,True
Larisa,1325.42945494374,GRE,G1,2026-05-21,True
Dijon,1325.240131067022,FRA,F2,2026-09-11,True
Recreativo,1324.1497508800694,ESP,SP2,2015-06-07,False
St Mirren,1323.5402269730298,SCO,SC0,2026-09-09,True
Kortrijk,1323.388199249794,BEL,B1,2026-09-13,True
Sampdoria,1322.6688141482305,ITA,I2,2026-09-13,True
Quevilly Rouen,1321.0802540980087,FRA,F2,2024-05-17,False
Ad. Demirspor,1319.814353349206,TUR,T1,2025-05-31,False
Gimnastic,1319.7554420061388,ESP,SP2,2019-06-09,False
Den Haag,1319.728689073937,NED,N1,2026-09-12,True
Preston,1319.5814542488502,ENG,E1,2026-09-12,True
Dundee,1318.9958169151878,SCO,SC0,2026-09-06,True
Ajaccio,1318.963015233027,FRA,F2,2025-05-10,False
Denizlispor,1318.6195738106192,TUR,T1,2021-05-15,False
Cultural Leonesa,1318.5492118427323,ESP,SP2,2026-05-30,True
Latina,1318.128019391133,ITA,I2,2017-05-18,False
Istanbulspor,1318.0753471209991,TUR,T1,2024-05-26,False
Reading,1317.0247685155196,ENG,E1,2023-05-08,False
Milton Keynes Dons,1316.6820715369706,ENG,E1,2016-05-07,False
Waasland-Beveren,1316.3256463401538,BEL,B1,2021-04-18,False
Lierse,1316.084725602601,BEL,B1,2015-03-15,False
Clermont,1315.9849070280713,FRA,F2,2026-09-11,True
Burton,1315.8120324671618,ENG,E1,2018-05-06,False
Panserraikos,1313.795400934308,GRE,G1,2026-05-21,True
Kerkyra,1313.7622531753739,GRE,G1,2018-05-05,False
Aberdeen,1313.269081269066,SCO,SC0,2026-09-05,True
Crotone,1312.1856751438393,ITA,I2,2022-05-06,False
Cambuur,1312.1117779748624,NED,N1,2026-09-12,True
Munich 1860,1311.8848675147867,GER,D2,2017-05-21,False
Ath Bilbao B,1311.755728492909,ESP,SP2,2016-06-04,False
FeralpiSalo,1311.2719963551438,ITA,I2,2024-05-10,False
Bastia,1311.012200549243,FRA,F2,2026-05-09,True
Kilmarnock,1310.9403024898647,SCO,SC0,2026-09-05,True
Preußen Münster,1310.6393321437863,GER,D2,2026-05-17,True
Braunschweig,1308.6517683594138,GER,D2,2026-09-12,True
Lorca,1306.9666284203338,ESP,SP2,2018-06-01,False
Beerschot VA,1306.8870764010687,BEL,B1,2025-05-10,False
Sevilla B,1306.783639337969,ESP,SP2,2018-06-01,False
Cottbus,1306.4418390804647,GER,D2,2026-09-13,True
Veria,1306.0106954904825,GRE,G1,2017-04-30,False
Vicenza,1305.2285070025043,ITA,I2,2026-09-12,True
Peterboro,1305.0226343370978,ENG,E1,2022-05-07,False
Cittadella,1304.7854371136923,ITA,I2,2025-05-13,False
